B001	0	1073	1
B001	0	1691	0
B001	0	1693	0
B001	0	1701	1
B001	0	2135	1
B001	0	2291	1
B001	0	2381	0
B001	0	3613	0
B001	0	5541	0
B001	0	8524	1
B002	0	151499	0
B002	0	188057	0
B004	0	525	0
B004	0	1572	0
B004	0	1709	0
B004	0	2680	0
B004	0	3039	0
B004	0	3310	0
B004	0	3434	0
B004	0	3435	0
B004	0	3961	0
B004	0	4009	0
B005	0	47326	0
B005	0	50468	0
B005	0	55793	0
B005	0	59250	0
B005	0	70567	0
B005	0	71546	1
B005	0	95945	0
B005	0	129984	0
B005	0	134056	0
B005	0	140629	0
B007	0	143	0
B007	0	255	0
B007	0	268	0
B007	0	369	0
B007	0	372	0
B007	0	374	0
B007	0	376	0
B007	0	383	1
B007	0	394	1
B007	0	395	0
B008	0	6184	1
B008	0	21888	0
B008	0	35344	0
B008	0	36423	0
B008	0	37475	0
B008	0	38341	1
B008	0	42179	0
B008	0	45480	0
B008	0	48251	0
B008	0	53429	0
B009	0	71043	0
B009	0	71593	1
B009	0	114180	0
B009	0	123457	1
B010	0	71	1
B010	0	88	2
B010	0	93	2
B010	0	159	0
B010	0	207	0
B010	0	229	1
B010	0	283	0
B010	0	481	0
B010	0	535	0
B010	0	595	0
B011	0	71	1
B011	0	88	2
B011	0	93	2
B011	0	207	0
B011	0	229	1
B011	0	283	0
B011	0	595	0
B011	0	799	1
B011	0	1473	0
B011	0	1710	0
B012	0	283	0
B012	0	13827	2
B012	0	20166	0
B012	0	24934	0
B012	0	29818	0
B012	0	30766	0
B012	0	31267	0
B012	0	34984	1
B012	0	35029	0
B012	0	36656	2
B013	0	751	0
B013	0	1845	1
B013	0	2759	0
B013	0	2787	1
B013	0	3031	0
B013	0	3183	0
B013	0	4119	1
B013	0	4467	1
B013	0	4468	0
B013	0	4512	1
B014	0	1845	1
B014	0	2787	1
B014	0	3183	0
B014	0	4119	1
B014	0	6461	0
B014	0	7377	0
B014	0	10108	2
B014	0	12986	0
B014	0	13429	1
B014	0	16257	0
B015	0	3183	0
B015	0	13429	1
B015	0	26810	2
B015	0	27975	0
B015	0	32243	1
B015	0	34586	0
B015	0	34869	0
B015	0	45279	0
B015	0	50541	0
B015	0	53604	1
B016	0	1165	0
B016	0	2150	1
B016	0	2495	0
B016	0	4540	0
B016	0	5034	0
B016	0	5220	1
B016	0	5229	0
B016	0	5779	0
B016	0	6011	0
B016	0	6221	0
B017	0	2150	1
B017	0	2495	0
B017	0	7486	0
B017	0	7919	0
B017	0	8208	0
B017	0	8656	1
B017	0	10442	0
B017	0	11614	1
B017	0	12168	0
B017	0	12460	1
B018	0	2150	1
B018	0	7486	0
B018	0	12168	0
B018	0	12604	0
B018	0	14184	1
B018	0	16143	0
B018	0	19558	0
B018	0	19946	0
B018	0	22033	0
B018	0	22442	0
B019	0	32	1
B019	0	60	0
B019	0	330	0
B019	0	338	0
B019	0	902	1
B019	0	1776	0
B019	0	1861	0
B019	0	1862	0
B019	0	2638	0
B019	0	2639	0
B020	0	338	0
B020	0	3646	2
B020	0	5112	0
B020	0	5262	2
B020	0	5472	0
B020	0	5573	1
B020	0	5809	2
B020	0	6112	0
B020	0	6544	0
B020	0	6557	0
I001	0	23140	1
I001	0	9328	0
I001	0	1693	0
I001	0	149619	0
I001	0	20098	0
I001	0	33445	0
I001	0	37430	1
I001	0	106848	0
I001	0	149642	1
I001	0	179073	2
I002	0	151499	0
I002	0	188059	1
I004	0	191951	0
I004	0	191917	0
I004	0	191991	0
I004	0	98998	0
I004	0	41539	0
I004	0	3434	0
I004	0	7800	0
I004	0	9767	0
I004	0	23194	0
I004	0	157061	0
I005	0	71546	0
I005	0	134056	0
I005	0	191917	0
I005	0	191991	0
I005	0	70567	0
I005	0	191894	0
I005	0	59250	0
I005	0	166917	0
I005	0	55793	0
I005	0	191881	0
I007	0	37734	0
I007	0	131775	0
I007	0	178400	0
I007	0	158039	0
I007	0	195033	0
I007	0	179146	0
I007	0	58095	0
I007	0	143530	0
I007	0	196207	0
I007	0	64299	0
I008	0	73094	1
I008	0	70766	0
I008	0	108971	2
I008	0	143726	0
I008	0	69949	1
I008	0	70012	1
I008	0	124462	1
I008	0	38341	1
I008	0	172107	0
I008	0	123457	1
I009	0	123457	1
I009	0	114180	0
I009	0	71043	0
I009	0	71593	1
I010	0	45801	0
I010	0	76140	0
I010	0	102265	1
I010	0	117575	0
I010	0	128339	0
I010	0	67806	0
I010	0	73099	0
I010	0	84300	0
I010	0	98861	0
I010	0	105193	0
I011	0	137002	2
I011	0	102265	1
I011	0	13827	2
I011	0	67806	0
I011	0	159043	0
I011	0	83473	1
I011	0	84628	2
I011	0	48005	0
I011	0	163928	0
I011	0	36656	2
I012	0	137002	2
I012	0	45929	2
I012	0	13827	2
I012	0	84628	2
I012	0	36656	2
I012	0	48005	0
I012	0	105193	0
I012	0	156947	0
I012	0	76302	0
I012	0	133485	0
I013	0	113981	2
I013	0	150447	1
I013	0	82343	2
I013	0	87620	1
I013	0	120556	0
I013	0	34869	0
I013	0	167403	1
I013	0	196216	1
I013	0	178645	1
I013	0	55102	1
I014	0	104645	0
I014	0	121993	0
I014	0	113981	2
I014	0	152864	0
I014	0	53002	0
I014	0	59423	0
I014	0	150447	1
I014	0	92561	1
I014	0	41664	0
I014	0	190884	0
I015	0	104645	0
I015	0	152864	0
I015	0	3183	0
I015	0	168419	0
I015	0	34869	0
I015	0	180351	1
I015	0	118872	2
I015	0	195170	0
I015	0	152517	0
I015	0	160953	1
I016	0	150781	2
I016	0	157054	2
I016	0	76480	1
I016	0	140741	2
I016	0	198199	0
I016	0	60551	2
I016	0	74438	2
I016	0	151198	2
I016	0	157053	2
I016	0	161961	1
I017	0	76480	1
I017	0	195164	1
I017	0	195165	1
I017	0	150781	2
I017	0	141304	2
I017	0	165325	0
I017	0	188232	0
I017	0	19558	0
I017	0	192532	0
I017	0	195457	0
I018	0	195164	1
I018	0	195165	1
I018	0	19558	0
I018	0	165325	0
I018	0	188232	0
I018	0	192532	0
I018	0	195457	1
I018	0	86372	0
I018	0	47838	0
I018	0	36113	0
I019	0	124158	1
I019	0	130017	2
I019	0	78660	1
I019	0	132989	1
I019	0	151001	2
I019	0	96558	0
I019	0	14530	1
I019	0	78625	1
I019	0	100336	2
I019	0	115896	1
I020	0	124158	1
I020	0	130017	2
I020	0	78660	1
I020	0	132989	1
I020	0	151001	2
I020	0	96558	0
I020	0	14530	1
I020	0	78625	1
I020	0	100336	2
I020	0	115896	1
